2.22.1	named	com.netflix.conductor	conductor-server
2.22.0	named	com.netflix.conductor	conductor-server
2.21.2	named	com.netflix.conductor	conductor-server
2.21.1	named	com.netflix.conductor	conductor-server
2.21.0-hotfix	named	com.netflix.conductor	conductor-server
2.21.0	named	com.netflix.conductor	conductor-server
2.20.0	named	com.netflix.conductor	conductor-server
2.19.0	named	com.netflix.conductor	conductor-server
2.18.1-alpha.6	named	com.netflix.conductor	conductor-server
2.18.1-alpha.5	named	com.netflix.conductor	conductor-server
2.18.1-alpha.4	named	com.netflix.conductor	conductor-server
2.18.0	named	com.netflix.conductor	conductor-server
2.18.0-beta.2	named	com.netflix.conductor	conductor-server
2.18.0-beta.1	named	com.netflix.conductor	conductor-server
