2.5.0-beta-3	automatic	org.codehaus.groovy	groovy-swing	2018-02-23T07:12:31Z	
2.6.0-alpha-3	automatic	org.codehaus.groovy	groovy-swing	2018-03-06T00:31:07Z	
2.5.0-rc-1	automatic	org.codehaus.groovy	groovy-swing	2018-04-09T01:44:03Z	
3.0.0-alpha-2	automatic	org.codehaus.groovy	groovy-swing	2018-04-17T03:03:54Z	
2.5.0-rc-2	automatic	org.codehaus.groovy	groovy-swing	2018-05-06T03:11:46Z	
2.5.0-rc-3	automatic	org.codehaus.groovy	groovy-swing	2018-05-22T15:59:15Z	
2.5.0	automatic	org.codehaus.groovy	groovy-swing	2018-05-30T03:58:19Z	
2.6.0-alpha-4	automatic	org.codehaus.groovy	groovy-swing	2018-06-26T08:23:58Z	
3.0.0-alpha-3	automatic	org.codehaus.groovy	groovy-swing	2018-06-26T10:15:01Z	
2.5.1	automatic	org.codehaus.groovy	groovy-swing	2018-07-13T13:35:35Z	
2.5.2	automatic	org.codehaus.groovy	groovy-swing	2018-08-14T00:22:20Z	
2.5.3	automatic	org.codehaus.groovy	groovy-swing	2018-10-14T05:23:22Z	
2.5.4	automatic	org.codehaus.groovy	groovy-swing	2018-11-11T22:22:28Z	
2.5.5	automatic	org.codehaus.groovy	groovy-swing	2018-12-24T01:24:41Z	
3.0.0-alpha-4	automatic	org.codehaus.groovy	groovy-swing	2018-12-30T21:57:53Z	
2.5.6	automatic	org.codehaus.groovy	groovy-swing	2019-02-04T13:18:55Z	
2.5.7	automatic	org.codehaus.groovy	groovy-swing	2019-05-10T13:49:31Z	
3.0.0-beta-1	automatic	org.codehaus.groovy	groovy-swing	2019-05-10T14:50:42Z	
3.0.0-beta-2	automatic	org.codehaus.groovy	groovy-swing	2019-07-13T16:37:57Z	
2.5.8	automatic	org.codehaus.groovy	groovy-swing	2019-08-07T15:13:28Z	
3.0.0-beta-3	automatic	org.codehaus.groovy	groovy-swing	2019-08-07T18:04:37Z	
3.0.0-rc-1	automatic	org.codehaus.groovy	groovy-swing	2019-10-25T12:46:48Z	
3.0.0-rc-2	automatic	org.codehaus.groovy	groovy-swing	2019-12-08T13:46:18Z	
