6.10.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.10.0/pushwoosh-calls-6.10.0.jar returned status 404
6.7.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.27/pushwoosh-calls-6.7.27.jar returned status 404
6.7.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.28/pushwoosh-calls-6.7.28.jar returned status 404
6.7.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.29/pushwoosh-calls-6.7.29.jar returned status 404
6.7.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.30/pushwoosh-calls-6.7.30.jar returned status 404
6.7.30-alpha			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.30-alpha/pushwoosh-calls-6.7.30-alpha.jar returned status 404
6.7.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.31/pushwoosh-calls-6.7.31.jar returned status 404
6.7.31-alpha			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.31-alpha/pushwoosh-calls-6.7.31-alpha.jar returned status 404
6.7.31-prerelease			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.31-prerelease/pushwoosh-calls-6.7.31-prerelease.jar returned status 404
6.7.31-test			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.31-test/pushwoosh-calls-6.7.31-test.jar returned status 404
6.7.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.32/pushwoosh-calls-6.7.32.jar returned status 404
6.7.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.33/pushwoosh-calls-6.7.33.jar returned status 404
6.7.33-beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.33-beta/pushwoosh-calls-6.7.33-beta.jar returned status 404
6.7.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.36/pushwoosh-calls-6.7.36.jar returned status 404
6.7.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.37/pushwoosh-calls-6.7.37.jar returned status 404
6.7.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.38/pushwoosh-calls-6.7.38.jar returned status 404
