1.2.1		2009-12-16T11:15:22Z	
1.2.1-M1		2009-08-10T10:17:27Z	
1.2.1-M10		2009-12-08T14:48:05Z	
1.2.1-M2		2009-08-21T14:41:56Z	
1.2.1-M3		2009-08-28T22:48:34Z	
1.2.1-M4		2009-09-03T10:27:52Z	
1.2.1-M5		2009-09-07T10:04:52Z	
1.2.1-M6		2009-09-14T12:42:37Z	
1.2.1-M7		2009-09-22T12:49:05Z	
1.2.1-M8		2009-10-14T17:26:08Z	
1.2.1-M9		2009-10-28T11:06:48Z	
1.2.2		2010-01-29T15:37:33Z	
1.2.2-M1		2010-01-07T16:50:19Z	
1.2.3		2010-03-29T09:04:45Z	
1.2.4		2010-07-30T09:42:43Z	
1.2.5		2010-09-07T14:19:29Z	
1.2.6		2010-09-20T15:58:04Z	
1.2.7		2010-10-04T09:21:17Z	
1.3.1		2011-04-21T15:05:56Z	
1.3.1-M1		2011-02-01T16:17:56Z	
1.3.2		2011-06-14T07:34:19Z	
1.3.3		2011-09-13T14:38:59Z	
1.3.4		2012-01-20T09:37:17Z	
