1.10.1		2017-11-30T07:24:16Z	
1.10.2		2017-11-30T12:50:12Z	
1.10.3		2017-12-30T21:26:06Z	
1.12.1		2018-05-08T18:58:01Z	
1.14.1-RC		2019-06-08T20:01:55Z	
1.14.100		2019-07-16T00:49:21Z	
1.14.101		2019-07-16T02:03:59Z	
1.14.102		2019-07-16T04:05:21Z	
1.14.103		2019-09-27T14:10:41Z	
1.14.105		2019-10-24T22:55:25Z	
1.14.2-RC		2019-06-09T00:44:21Z	
1.14.3-RC		2019-06-10T01:32:38Z	
1.14.6-RC		2019-06-10T03:44:11Z	
1.16.1		2020-05-12T00:44:11Z	
1.18.11		2021-04-19T10:22:05Z	
1.18.2		2021-02-17T09:58:42Z	
1.18.3		2021-02-17T13:04:01Z	
1.20.1		2022-01-18T11:48:28Z	
1.20.2		2022-09-15T09:39:58Z	
1.22.1		2022-09-14T09:54:53Z	
1.22.2		2022-09-14T13:46:37Z	
1.24.1		2023-07-11T07:55:22Z	
1.24.2		2024-04-12T13:09:17Z	
1.26.1		2024-05-16T16:31:16Z	
1.26.2		2024-12-20T09:47:28Z	
1.26.5		2025-01-10T12:08:58Z	
1.28.1		2025-04-29T17:04:33Z	
1.28.2		2025-07-15T16:08:17Z	
1.30.1		2026-04-15T20:40:18Z	
1.30.2		2026-06-03T10:43:42Z	
1.4.1		2017-04-20T02:03:28Z	
1.6.1		2017-07-12T10:16:11Z	
1.6.2		2017-07-12T13:47:23Z	
1.8.1		2017-08-09T11:33:35Z	
